symbol,date,open,high,low,close,volume,prev_close,gap,run,dollar_vol,advol20,rvol
BBIO,2026-07-09,84.0,93.415,84.0,90.17,20327218.0,78.33,0.07238605898123329,0.19258266309204664,1832905247.06,3953317.85,5.141812212240915
BBWI,2024-11-25,34.330349,35.289193,32.722877,33.634718,29582160.0,28.868703,0.1891891714012921,0.22240313324779426,994987609.43088,5374514.55,5.504154789198589
BBWI,2026-05-27,19.086248,20.456543,18.792614,19.037309,18204693.0,17.353804,0.09983079214217239,0.17879301852204854,346568365.891137,5762486.85,3.1591730226681562
BBY,2026-05-28,68.784651,76.087469,67.590542,73.758462,14364421.0,63.692416,0.0799504135625817,0.1946079891207142,1059497600.4805019,3790889.7,3.7891951854995938
BCRX,2025-05-05,9.795,11.11,9.59,11.03,26301795.0,8.93,0.09686450167973137,0.24412094064949597,290108798.84999996,3814369.75,6.895449765980343
BCRX,2026-03-16,8.22,9.5987,8.195,9.3,19874868.0,8.22,0.0,0.16772506082725047,184836272.4,4934050.6,4.028103805826394
BE,2024-11-08,11.05,13.39,11.017,13.17,23196127.0,10.67,0.03561387066541721,0.2549203373945643,305492992.59,6327004.0,3.6662102631830167
BE,2024-11-15,20.95,22.5,17.8,21.14,64764263.0,13.28,0.5775602409638554,0.6942771084337349,1369116519.82,7851419.55,8.24873293135889
BE,2024-11-18,21.405,24.9222,21.09,22.81,38508222.0,21.14,0.012535477767265935,0.17891201513718058,878372543.8199999,10903505.9,3.531728450754541
BE,2025-07-09,26.08,29.4399,25.84,28.71,22036975.0,24.3,0.07325102880658418,0.21151851851851844,632681552.25,5094088.95,4.325989439191084
BE,2025-07-24,30.45,33.91,29.9,33.06,39241177.0,26.89,0.13239122350316102,0.2610635924135365,1297313311.6200001,7668448.2,5.117225281641727
BMNR,2025-06-30,14.995596,34.349912,12.376365,33.890047,110196702.0,4.263748,2.516998659395443,7.056271618303898,3734571410.0249944,109492.75,1006.4292110664861
BMNR,2025-07-01,51.984733,74.778039,41.207998,45.986494,47104915.0,33.890047,0.5339233079257752,1.2064896811739447,2166189891.01801,5619326.95,8.382661379046471
BMNR,2025-07-02,51.524868,63.561333,41.487816,58.482824,24770405.0,45.986494,0.12043479548582248,0.382173926979517,1448643236.02372,7974496.6,3.1062029670938727
BMNR,2025-07-03,57.263183,160.95273,54.983852,134.960364,37559852.0,58.482824,-0.020854687181316778,1.752136764120693,5069091297.706128,9212949.55,4.076854192694456
BMNR,2025-08-11,57.942983,69.979448,56.483412,58.962684,147160744.0,51.4149,0.12696869973490155,0.36107330754314404,8676992445.676897,38542028.85,3.818188828946403
BMRN,2025-12-19,54.8,63.89,54.39,61.15,18520186.0,51.95,0.05486044273339741,0.22983638113570737,1132509373.8999999,2970543.65,6.234611634136398
BTDR,2024-11-11,9.99,11.61,9.86,11.34,10464856.0,8.96,0.11495535714285698,0.2957589285714284,118671467.03999999,2989832.55,3.5001478594511926
BTDR,2024-11-13,11.05,13.52,10.34,10.6,12326401.0,10.97,0.007292616226071136,0.2324521422060164,130659850.6,3653413.3,3.3739410211267367
BTDR,2025-10-15,24.8,27.8,24.15,25.9,32869940.0,20.12,0.23260437375745524,0.3817097415506958,851331446.0,7402208.65,4.4405584271121565
BTSG,2024-11-01,16.0,17.54,15.7707,17.25,5067777.0,14.97,0.06880427521710075,0.17167668670674674,87419153.25,1370355.45,3.698147805374146
BTSG,2025-01-21,17.8,21.34,17.562,20.89,5155544.0,18.55,-0.040431266846361225,0.15040431266846355,107699314.16,980181.1,5.259787196468081
BTSG,2025-05-02,20.36,20.95,19.4,20.87,4015675.0,17.9,0.13743016759776538,0.17039106145251393,83807137.25,1255234.85,3.199142375627955
BULL,2025-04-11,16.0,16.69,9.54,13.25,3931772.0,12.02,0.3311148086522464,0.3885191347753745,52095979.0,108236.95,36.32559860565177
