symbol,date,gap,atr_pct,entry,exit,reason,exit_min,gross,ret,period
RUN,2025-06-09,0.030317273795534838,0.1232096692966258,8.62,8.27,eod,945,0.042321644498186206,0.04092164449818621,IS
BTDR,2025-06-10,0.03497501784439683,0.07302233098806975,14.0501,14.3,eod,945,-0.017475524475524473,-0.01887552447552447,IS
RUN,2025-06-10,0.03990326481257567,0.12341682501295559,8.32,8.736,stop,735,-0.04761904761904767,-0.04901904761904767,IS
GLXY,2025-06-20,0.07720588235294135,0.06538415366146459,19.59,18.86,eod,945,0.0387062566277836,0.0373062566277836,IS
SBET,2025-06-20,0.09699999999999998,1.6857457142857144,10.51,9.85,eod,945,0.06700507614213191,0.06560507614213192,IS
MARA,2025-06-25,0.032930107526881525,0.059138344854070664,15.06,14.98,eod,945,0.005340453938584844,0.0039404539385848435,IS
SOUN,2025-06-25,0.03054989816700604,0.05677116671515859,9.95,9.57,eod,945,0.039707419017763756,0.03830741901776376,IS
OKLO,2025-06-26,0.030232139643692646,0.12825625337412275,55.76,55.85,eod,945,-0.0016114592658907911,-0.0030114592658907913,IS
APLD,2025-06-27,0.03314393939393945,0.10398336038961038,10.4,10.38,eod,945,0.0019267822736031004,0.0005267822736031004,IS
OKLO,2025-06-27,0.06624888093106529,0.125694845888221,56.53,59.356500000000004,stop,630,-0.04761904761904767,-0.04901904761904767,IS
RUN,2025-06-30,0.059892328398384986,0.14256777542780238,7.755,8.14275,stop,630,-0.04761904761904756,-0.04901904761904756,IS
SBET,2025-06-30,0.03632478632478642,0.6674221611721611,9.2254,9.686670000000001,stop,735,-0.04761904761904767,-0.04901904761904767,IS
ALAB,2025-07-15,0.04174047829937999,0.0658063393647982,92.3126,92.36,eod,945,-0.0005132091814638029,-0.0019132091814638029,IS
CORZ,2025-07-15,0.030235988200590036,0.11037505267593764,13.775,13.76,eod,945,0.0010901162790697416,-0.00030988372093025836,IS
CRWV,2025-07-15,0.08963172804532582,0.09159568325913933,141.25,140.59,eod,945,0.004694501742655843,0.003294501742655843,IS
NVTS,2025-07-15,0.06473594548551964,0.0814614261377464,6.12,6.426,stop,735,-0.04761904761904767,-0.04901904761904767,IS
BMNR,2025-07-21,0.06257379085042336,0.7177176579845359,42.08763917614355,39.558382,eod,945,0.06393732625726556,0.06253732625726556,IS
BMNR,2025-07-22,0.04953248593433357,0.7276611096696812,39.98825588891644,41.987668683362266,stop,735,-0.04761904761904767,-0.04901904761904767,IS
AAOI,2025-07-23,0.032258064516129004,0.09607020872865273,27.0,26.305,eod,945,0.026420832541341976,0.025020832541341978,IS
BMNR,2025-07-28,0.042462315883444735,0.3798451164080998,39.66835028652805,35.099692,eod,945,0.1301623469097124,0.1287623469097124,IS
CLSK,2025-07-28,0.039763113367174086,0.07360285230843609,12.005,12.03,eod,945,-0.0020781379883623163,-0.0034781379883623165,IS
COIN,2025-07-30,0.030987508076674608,0.05475218070213225,378.63,377.48,eod,945,0.0030465190208752713,0.0016465190208752713,IS
MARA,2025-07-30,0.04846478025285972,0.07693300077406034,17.24,16.55,eod,945,0.04169184290030192,0.040291842900301925,IS
AAOI,2025-07-31,0.031222896790980226,0.09784537232065423,23.28,22.87,eod,945,0.01792741582859647,0.016527415828596473,IS
BMNR,2025-07-31,0.04360466299698462,0.22605835060376941,34.5999387783776,36.32993571729648,stop,705,-0.04761904761904767,-0.04901904761904767,IS
CORZ,2025-07-31,0.03944848716966676,0.04893582097718443,13.4,13.54,eod,945,-0.010339734121122546,-0.011739734121122546,IS
IONQ,2025-07-31,0.031093279839518484,0.06689676171371257,40.63,39.87,eod,945,0.019061951341861283,0.017661951341861284,IS
IREN,2025-07-31,0.03779429987608429,0.09428438661710035,16.5,16.11,eod,945,0.02420856610800759,0.02280856610800759,IS
FSM,2025-08-01,0.03100775193798455,0.04252934662236985,6.4335,6.39,eod,945,0.006807511737089378,0.005407511737089378,IS
AAOI,2025-08-04,0.05480724570366924,0.10299714683829873,22.23,22.19,eod,945,0.0018026137899953554,0.0004026137899953554,IS
